robot,n_deformables,cloth_resolution,n_vertices,num_envs,steps,elapsed_s,env_steps_per_s,per_env_steps_per_s,gpu_mem_mb,rung,error,ok,task
bhl_kinematic,0,n/a,0,1,400,1.395956654974725,286.54184825476716,286.54184825476716,,C0,,,
bhl_kinematic,0,n/a,0,1,400,1.0849216670030728,368.69021254312094,368.69021254312094,,C5,,,
planned_isaac,1,very_low,64,,0,,,,,mesh_8x8,,,
planned_isaac,1,low,100,,0,,,,,mesh_10x10,,,
planned_isaac,1,medium_low,144,,0,,,,,mesh_12x12,,,
planned_isaac,1,medium,256,,0,,,,,mesh_16x16,,,
bhl_kinematic,0,n/a,0,1,400,1.1442153319949284,349.5845483057842,349.5845483057842,,C0,,,
bhl_kinematic,0,n/a,0,1,400,1.1195737959933467,357.2788157703336,357.2788157703336,,C5,,,
planned_isaac,1,very_low,64,,0,,,,,mesh_8x8,,,
planned_isaac,1,low,100,,0,,,,,mesh_10x10,,,
planned_isaac,1,medium_low,144,,0,,,,,mesh_12x12,,,
planned_isaac,1,medium,256,,0,,,,,mesh_16x16,,,
bhl,0,n/a,0,8,40,2.4880448300391436,128.61504589327097,16.07688073665887,0.05888,,,True,ClothSort-BHL-Rigid-Oracle-v0
bhl,0,n/a,0,32,40,2.051620443817228,623.8970779694721,19.496783686546003,0.140288,,,True,ClothSort-BHL-Rigid-Oracle-v0
bhl,0,n/a,0,64,40,2.2905256100930274,1117.647403163516,17.463240674429937,0.260096,,,True,ClothSort-BHL-Rigid-Oracle-v0
bhl,1,8x8,81,8,40,0.6848661517724395,467.2445837363071,58.40557296703839,0.260096,,,True,ClothSort-BHL-Deformable-Oracle-v0
bhl,1,10x10,121,8,40,0.7300382796674967,438.3331791118505,54.79164738898131,0.260096,,,True,ClothSort-BHL-Deformable-Oracle-v0
