seed,crate,solo,closest_pinch_m,fine_kernel,peak_lift_m,held_lift_m,in_pinch_frac,fell,run,arm,crew,iteration,vision
0,0,0,0.16021282705821122,0.12950804084845846,0.04613807343062826,-0.0005381884068328124,0.7,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,2,15999,0
1,0,0,0.16209826888205686,0.1257535630092942,0.031510312532344154,-0.00018579398658657986,0.495,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,2,15999,0
2,0,0,0.1688299408678251,0.11316252557261164,0.006191353574522773,-0.00017685124208272063,0.335,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,2,15999,0
3,0,0,0.16322151352715447,0.12356535785950351,0.02067011212604497,-0.00017839479035530736,0.47,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,2,15999,0
4,0,0,0.1672331668184298,0.1160374659820268,0.011518686139062484,-0.0006057366513902707,0.43,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,2,15999,0
5,0,0,0.15998419730647018,0.12997034141768493,0.014187698590173992,-0.0001665105536604039,0.5,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,2,15999,0
6,0,0,0.1669401858466899,0.11657235799149068,0.008802158036392865,-0.00018412351751806444,0.325,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,2,15999,0
7,0,0,0.1634011332108088,0.12321875418363382,0.007659554736560326,-0.0001901189234215228,0.395,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,2,15999,0
0,0,0,0.16021282705821838,0.12950804084844392,0.04613807342548781,-0.00053818840692621,0.7,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
0,1,1,0.44972794921634324,0.0011105786610073887,0.0,-0.0001841235175181477,0.0,0,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
1,0,0,0.1620982688820567,0.12575356300929452,0.031510312532339435,-0.00018579398658646884,0.495,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
1,1,1,0.46683788788043434,0.000835147714489004,0.0,-0.0001841235175181477,0.0,0,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
2,0,0,0.16882994086783068,0.11316252557260165,0.00619135357483927,-0.00017685122281299592,0.335,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
2,1,1,0.45913004638559607,0.0009495758375479557,0.0,-0.0001841235175181477,0.0,0,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
3,0,0,0.16322151352715658,0.1235653578594994,0.0206701121262175,-0.0001783947903552241,0.47,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
3,1,1,0.466876651664902,0.0008346085557328076,0.0,-0.0001841235175181477,0.0,0,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
4,0,0,0.16723316681843214,0.11603746598202258,0.011518686138803802,-0.0006057366513905205,0.43,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
4,1,1,0.4469497066945151,0.0011631814977816068,0.0,-0.0001841235175181477,0.0,0,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
5,0,0,0.1599841973064698,0.1299703414176857,0.014187698590107628,-0.00016651055366720402,0.5,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
5,1,1,0.4542676753605304,0.001029691824929957,0.0,-0.0001841235175181477,0.0,0,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
6,0,0,0.16694018584665837,0.11657235799154841,0.008802158031705892,-0.00018412351751798117,0.325,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
6,1,1,0.4766831935656065,0.0007088070739447172,0.0,-0.0001841235175181477,0.0,0,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
7,0,0,0.1634011332108074,0.12321875418363648,0.007659554738834173,-0.00019011892341710968,0.395,1,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
7,1,1,0.4595644772893124,0.0009427284793345203,0.0,-0.0001841235175181477,0.0,0,2026-08-24_02-01-51_coop-occluded-blind-s0,02-01-51_coop-occluded-blind-s0,3,15999,0
0,0,0,0.23876009029908185,0.03670974344483868,0.019665810765534836,-0.00018412351751825873,0.0,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,2,15999,0
1,0,0,0.1673285956827961,0.11586374041797809,0.017910807072963747,-0.0001841235175180922,0.035,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,2,15999,0
2,0,0,0.18937936838087024,0.08168572729201762,0.13817830571482764,-0.00018412351751817546,0.035,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,2,15999,0
3,0,0,0.04005519257456622,0.6780749293563746,0.17303147750407583,-0.0001841235175181477,0.13,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,2,15999,0
4,0,0,0.19778147437238705,0.07139269213589217,0.05528388852879956,-0.00018412351751795342,0.005,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,2,15999,0
5,0,0,0.13233858465943538,0.19848976442900257,0.021987210100962218,-0.0008238752192070153,0.425,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,2,15999,0
6,0,0,0.09635698107789817,0.33430341246938367,0.003988322045575532,-0.0001841235175183975,0.14,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,2,15999,0
7,0,0,0.04400670589048717,0.6488783601818893,0.2217910789610983,-0.00018412351751836975,0.155,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,2,15999,0
0,0,0,0.23876009029895262,0.03670974344491629,0.0196591801192135,-0.00018412351751811995,0.0,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
0,1,1,0.39493577231495,0.002765595086945627,0.07021078605723519,-0.0001841235175180922,0.0,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
1,0,0,0.16732859568281172,0.11586374041794967,0.01791080707338849,-0.00018412351751811995,0.035,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
1,1,1,0.384707264899697,0.0032787884256173516,0.07265707318269826,-0.00018412351751806444,0.0,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
2,0,0,0.18937978464302344,0.08168518372858191,0.13794066069074112,-0.0001841235175183975,0.035,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
2,1,1,0.23517070764992998,0.03892880010640054,0.04911123000151915,-0.00018412351751831424,0.0,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
3,0,0,0.039438207814222234,0.6826912218661844,0.16903396370168233,0.05058835552233515,0.125,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
3,1,1,0.33658246976644834,0.007297553684180613,0.10690805154850916,-0.00025516095854000165,0.0,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
4,0,0,0.19778147437238383,0.07139269213589583,0.05528402380039665,-0.000184123517518342,0.005,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
4,1,1,0.34020046949715477,0.006871983107120894,0.10441101824666832,-0.00022418136224125473,0.0,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
5,0,0,0.13233858465940812,0.19848976442908373,0.021987210101133803,-0.0008227167415709724,0.43,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
5,1,1,0.3873818790322915,0.0031360641124454913,0.01774546846336114,-0.0006245146424566916,0.0,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
6,0,0,0.09635698107790146,0.33430341246936846,0.004858722225427686,-0.00018412351751842526,0.14,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
6,1,1,0.28703287079639545,0.016588216334715966,0.04052937876331916,-0.0006537876652266406,0.0,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
7,0,0,0.04398837935645489,0.6490122600403688,0.22179107896107975,-0.00018410503030263925,0.155,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
7,1,1,0.3983958766535645,0.0026108214887179404,0.0684133304879932,-0.00018412351751800893,0.0,1,2026-08-24_23-55-08_coop-occluded-blind-s0,23-55-08_coop-occluded-blind-s0,3,15999,0
0,0,0,0.16965799822968183,0.1116981251703586,0.0,-0.0001841235175181477,0.95,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,2,15999,0
1,0,0,0.173967624516183,0.10436048690742161,0.0,-0.0001841235175181477,0.955,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,2,15999,0
2,0,0,0.17236711014238043,0.10703080689457445,0.0,-0.0001841235175181477,0.955,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,2,15999,0
3,0,0,0.17207133783563672,0.10753128449663851,0.0,-0.0001841235175181477,0.96,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,2,15999,0
