run,iteration,crew,crate,solo,closest_pinch_m,fine_kernel,peak_lift_m,in_pinch_frac,fell,steps
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,2,0,0,0.0772,0.4331,0.0526,0.4933,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,3,0,0,0.0772,0.4331,0.0526,0.4967,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,3,1,1,0.2337,0.0399,0.0573,0.0,0,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,4,0,0,0.0772,0.4331,0.0544,0.4967,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,4,1,0,0.0792,0.4219,0.0493,0.98,0,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,2,0,0,0.0772,0.4331,0.0526,0.4933,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,3,0,0,0.0772,0.4331,0.053,0.4967,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,3,1,1,0.2337,0.0399,0.0573,0.0,0,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,4,0,0,0.0772,0.4331,0.053,0.4967,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,4,1,0,0.0792,0.4219,0.0493,0.98,0,300
