run,iteration,crew,crate,solo,closest_pinch_m,fine_kernel,peak_lift_m,in_pinch_frac,fell,steps
2026-08-22_20-19-14_coop-ball-staged-s0,3999,2,0,0,0.1573,0.1355,0.0,0.02,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,2,0,0,0.0772,0.4331,0.0526,0.4933,1,300
2026-08-22_20-19-14_coop-ball-staged-s0,3999,3,0,0,0.1573,0.1355,0.0,0.02,1,300
2026-08-22_20-19-14_coop-ball-staged-s0,3999,3,1,1,0.6562,0.0,0.0018,0.0,1,300
2026-08-22_20-19-14_coop-ball-staged-s0,3999,4,0,0,0.1573,0.1355,0.0,0.02,1,300
2026-08-22_20-19-14_coop-ball-staged-s0,3999,4,1,0,0.1301,0.2054,0.0,0.03,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,2,0,0,0.1135,0.262,0.0192,0.15,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,2,0,0,0.1192,0.2411,0.0906,0.1467,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,2,0,0,0.0725,0.46,0.078,0.9767,0,300
2026-08-22_20-19-14_coop-ball-staged-s0,3999,2,0,0,0.1573,0.1355,0.0,0.02,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,2,0,0,0.1192,0.2411,0.0906,0.1467,1,300
2026-08-21_15-46-55_coop-cube-staged-r2-s0,3999,2,0,0,0.0725,0.46,0.078,0.9767,0,300
2026-08-22_20-19-14_coop-ball-staged-s0,3999,2,0,0,0.1573,0.1355,0.0,0.02,1,300
