label,role,object,arm,off,iters,reward,pinch,pinch_raw,clamp,lift_bonus,h,fall,ep_len,copy_of_control
coop-ball-pinch-s0,object,ball,squat pinch,—,3999,1.5711225271224976,0.20165549218654633,0.20165549218654633,0.2697799801826477,2.0920286178588867,0.04416666552424431,0.6832682490348816,138.27000427246094,0
coop-ball-s0,standing,ball,standing spawn,—,3999,-0.43850046396255493,,,,0.0,0.03999999910593033,1.0,5.03000020980835,0
coop-cube-absolute-s0,ablation,cube,absolute,residual around squat,3999,6.835450649261475,0.007548038847744465,0.007548038847744465,0.0011396168265491724,0.0,0.03999999910593033,0.02571614645421505,196.75999450683594,0
coop-cube-bonusonly-s0,ablation,cube,bonusonly,dense lift progress,3999,14.101374626159668,0.1844557523727417,0.1844557523727417,0.17907600104808807,1.2872313261032104,0.04583333060145378,0.3319905698299408,168.6699981689453,0
coop-cube-clockh-s0,ablation,cube,clockh,competence → wall clock,3999,7.230688571929932,0.024461224675178528,0.024461224675178528,0.01292460598051548,0.0,0.2199999988079071,0.0552164725959301,197.22000122070312,0
coop-cube-coarseonly-s0,ablation,cube,coarseonly,fine σ=0.12,3999,7.3818888664245605,0.0,0.0,0.004268588498234749,0.0,0.03999999910593033,0.0469156913459301,194.4199981689453,0
coop-cube-fixedh-s0,ablation,cube,fixedh,competence on h,3999,11.511500358581543,0.12539434432983398,0.12539434432983398,0.08753132075071335,1.2421398162841797,0.03999999910593033,0.24658203125,172.8699951171875,0
coop-cube-noalive-s0,ablation,cube,noalive,still_alive,3999,-0.9289665222167969,0.08708740770816803,0.08708740770816803,0.08358560502529144,0.8946768641471863,0.07583334296941757,0.9405517578125,75.11000061035156,0
coop-cube-noclamp-s0,ablation,cube,noclamp,opposing-force,3999,7.247769832611084,0.018735427409410477,0.018735427409410477,0.0,0.0,0.03999999910593033,0.0346272811293602,197.36000061035156,0
coop-cube-nodrift-s0,ablation,cube,nodrift,xy hold,3999,20.94376564025879,0.2356226146221161,0.2356226146221161,0.31697267293930054,1.3065513372421265,0.05166666954755783,0.0480143241584301,194.52999877929688,0
coop-cube-nopriv-s0,ablation,cube,nopriv,critic object twist,3999,9.158098220825195,0.08130019903182983,0.08130019903182983,0.057280730456113815,0.6578179597854614,0.04666666314005852,0.1395670622587204,185.3800048828125,1
coop-cube-notilt-s0,ablation,cube,notilt,object tilt,3999,16.963619232177734,0.21498368680477142,0.21498368680477142,0.20418839156627655,1.8227771520614624,0.05250000208616257,0.2938639521598816,167.97000122070312,0
coop-cube-notrack-s0,ablation,cube,notrack,actor PD residual,3999,9.158098220825195,0.08130019903182983,0.08130019903182983,0.057280730456113815,0.6578179597854614,0.04666666314005852,0.1395670622587204,185.3800048828125,1
coop-cube-onesigma-s0,ablation,cube,onesigma,two-scale → σ=0.15,3999,5.150424003601074,0.08091854304075241,0.040459271520376205,0.004101119935512543,0.0,0.03999999910593033,0.03076171875,190.8800048828125,0
coop-cube-pickfirst-s0,ablation,cube,pickfirst,lift weights,3999,12.543696403503418,0.3964584469795227,0.3964584469795227,0.49567362666130066,0.0,0.040833331644535065,0.0048828125,200.0,0
coop-cube-pinch-s0,control,cube,control,—,3999,9.158098220825195,0.08130019903182983,0.08130019903182983,0.057280730456113815,0.6578179597854614,0.04666666314005852,0.1395670622587204,185.3800048828125,0
coop-cube-progressonly-s0,ablation,cube,progressonly,sparse lift bonus,3999,8.2019681930542,0.17269526422023773,0.17269526422023773,0.14635100960731506,0.0,0.0416666641831398,0.0458984375,195.67999267578125,0
coop-cube-s0,standing,cube,standing spawn,—,3999,-0.44682541489601135,,,,0.0,0.03999999910593033,1.0,5.019999980926514,0
coop-cube-staged-s0,ablation,cube,staged,DexPBT r_pick then r_targ,3999,9.158098220825195,0.08130019903182983,0.08130019903182983,0.057280730456113815,0.6578179597854614,0.04666666314005852,0.1395670622587204,185.3800048828125,1
coop-cube-ungated-s0,ablation,cube,ungated,pinch×height,3999,5.49416446685791,0.008158786222338676,0.008158786222338676,0.00015137740410864353,2.772045135498047,0.06666666269302368,0.6847330927848816,125.2699966430664,0
coop-ladder-pinch-s0,object,ladder,squat pinch,—,3999,4.1562604904174805,0.0,0.0,0.0,0.0,0.03999999910593033,0.015869140625,198.1300048828125,0
coop-ladder-s0,standing,ladder,standing spawn,—,3999,7.922657012939453,,,,3.410653591156006,0.21833333373069763,0.7412516474723816,80.25,0
