run,iteration,crew,crate,solo,closest_pinch_m,fine_kernel,peak_lift_m,in_pinch_frac,fell,steps
2026-08-22_12-58-19_coop-cube-depthswap-s0,3999,2,0,0,0.2012,0.0675,0.0107,0.0,1,300
2026-08-22_12-58-19_coop-cube-depthswap-s0,3999,3,0,0,0.2012,0.0675,0.0322,0.0,2,300
2026-08-22_12-58-19_coop-cube-depthswap-s0,3999,3,1,1,0.4499,0.0011,0.0014,0.0,0,300
2026-08-22_12-58-19_coop-cube-depthswap-s0,3999,4,0,0,0.2012,0.0675,0.0318,0.0,2,300
2026-08-22_12-58-19_coop-cube-depthswap-s0,3999,4,1,0,0.1622,0.1256,0.0084,0.0667,1,300
2026-08-22_17-11-35_coop-cube-depthboth-s0,3999,2,0,0,0.3155,0.0104,0.0,0.0,1,300
2026-08-22_17-11-35_coop-cube-depthboth-s0,3999,3,0,0,0.3155,0.0104,0.0,0.0,1,300
2026-08-22_17-11-35_coop-cube-depthboth-s0,3999,3,1,1,0.5243,0.0003,0.0,0.0,1,300
2026-08-22_17-11-35_coop-cube-depthboth-s0,3999,4,0,0,0.3155,0.0104,0.0,0.0,1,300
2026-08-22_17-11-35_coop-cube-depthboth-s0,3999,4,1,0,0.3101,0.0113,0.0,0.0,1,300
