policy,n_episodes,fall_rate,survival_s,lin_vel_err,distance_m
dr-aggressive,90,0.1667,8.558,0.2036,0.131
dr-default,90,0.0,10.0,0.2608,1.984
dr-off,90,0.2333,8.384,0.2125,1.307
dr-s0.5,90,0.0111,9.919,0.2223,1.849
dr-s1.5,90,0.0,10.0,0.2482,1.745
push-adaptive,60,0.05,9.942,0.2174,2.121
push-c0.2,60,0.05,9.706,0.2873,1.946
push-c0.4,90,0.0444,9.822,0.2604,1.908
push-c0.6,60,0.05,9.851,0.2334,1.955
push-curriculum,90,0.0667,9.736,0.2553,1.867
push-fixed,90,0.0667,9.723,0.2332,1.609
terrain-bumpy,90,0.0,10.0,0.2505,1.611
terrain-smooth,60,0.0,10.0,0.241,1.426
